animal,comp,condition,accuracy
A166Nt,"Heptanol
Octanol",bf,0.44000000000000006
A166Nt,"Hexanol
Heptanol",bf,0.6599999999999999
A166Nt,"Hexanol
Octanol",bf,0.65
A166Nt,"Pentanol
Heptanol",bf,0.6599999999999999
A166Nt,"Pentanol
Hexanol",bf,0.65
A166Nt,"Pentanol
Octanol",bf,0.5900000000000001
A170Nt,"Heptanol
Octanol",bf,0.48
A170Nt,"Hexanol
Heptanol",bf,0.58
A170Nt,"Hexanol
Octanol",bf,0.6799999999999999
A170Nt,"Pentanol
Heptanol",bf,0.5700000000000001
A170Nt,"Pentanol
Hexanol",bf,0.5
A170Nt,"Pentanol
Octanol",bf,0.53
A170R1,"Heptanol
Octanol",bf,0.39
A170R1,"Hexanol
Heptanol",bf,0.51
A170R1,"Hexanol
Octanol",bf,0.43
A170R1,"Pentanol
Heptanol",bf,0.77
A170R1,"Pentanol
Hexanol",bf,0.5599999999999999
A170R1,"Pentanol
Octanol",bf,0.65
A166Nt,"Heptanol
Octanol",af,0.43
A166Nt,"Hexanol
Heptanol",af,0.62
A166Nt,"Hexanol
Octanol",af,0.64
A166Nt,"Pentanol
Heptanol",af,0.73
A166Nt,"Pentanol
Hexanol",af,0.7
A166Nt,"Pentanol
Octanol",af,0.8
A170Nt,"Heptanol
Octanol",af,0.74
A170Nt,"Hexanol
Heptanol",af,0.6900000000000001
A170Nt,"Hexanol
Octanol",af,0.5900000000000001
A170Nt,"Pentanol
Heptanol",af,0.8400000000000001
A170Nt,"Pentanol
Hexanol",af,0.8300000000000001
A170Nt,"Pentanol
Octanol",af,0.8
A170R1,"Heptanol
Octanol",af,0.5900000000000001
A170R1,"Hexanol
Heptanol",af,0.5900000000000001
A170R1,"Hexanol
Octanol",af,0.71
A170R1,"Pentanol
Heptanol",af,0.61
A170R1,"Pentanol
Hexanol",af,0.6799999999999999
A170R1,"Pentanol
Octanol",af,0.5599999999999999
